Name,Tags,URL
509. 斐波那契数,动态规划,https://leetcode.cn/problems/fibonacci-number/description/
爬楼梯,动态规划,https://leetcode.cn/problems/climbing-stairs/description/
746. 使用最小花费爬楼梯,动态规划,https://leetcode.cn/problems/min-cost-climbing-stairs/description/
62. 不同路径,动态规划,https://leetcode.cn/problems/unique-paths/description/
63. 不同路径 II,动态规划,https://leetcode.cn/problems/unique-paths-ii/description/
343. 整数拆分,动态规划,https://leetcode.cn/problems/integer-break/description/
96.不同的二叉搜索树,动态规划,https://leetcode.cn/problems/unique-binary-search-trees/description/
01背包理论基础,动态规划,
416. 分割等和子集,动态规划,https://leetcode.cn/problems/partition-equal-subset-sum/description/
1049. 最后一块石头的重量 II,动态规划,https://leetcode.cn/problems/last-stone-weight-ii/description/
494. 目标和,动态规划,https://leetcode.cn/problems/target-sum/description/
474. 一和零,动态规划,https://leetcode.cn/problems/ones-and-zeroes/description/
完全背包问题,动态规划,
518. 零钱兑换 II,动态规划,https://leetcode.cn/problems/coin-change-ii/description/
377. 组合总和 Ⅳ,动态规划,https://leetcode.cn/problems/combination-sum-iv/description/
70. 爬楼梯（进阶版）,动态规划,https://kamacoder.com/problempage.php?pid=1067
322. 零钱兑换,动态规划,https://leetcode.cn/problems/coin-change/description/
279.完全平方数,动态规划,https://leetcode.cn/problems/perfect-squares/submissions/648102634/
139.单词拆分,动态规划,https://leetcode.cn/problems/word-break/description/
多重背包,动态规划,https://gitee.com/programmercarl/leetcode-master/blob/master/problems/%E8%83%8C%E5%8C%85%E9%97%AE%E9%A2%98%E7%90%86%E8%AE%BA%E5%9F%BA%E7%A1%80%E5%A4%9A%E9%87%8D%E8%83%8C%E5%8C%85.md
打家劫舍,动态规划,https://leetcode.cn/problems/house-robber/description/
213. 打家劫舍 II,动态规划,https://leetcode.cn/problems/house-robber-ii/description/
337. 打家劫舍 III,动态规划,https://leetcode.cn/problems/house-robber-iii/
121. 买卖股票的最佳时机,动态规划,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock/description/
122. 买卖股票的最佳时机 II（动规版）,动态规划,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-ii/description/
123. 买卖股票的最佳时机 III,动态规划,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-iii/
188. 买卖股票的最佳时机 IV,动态规划,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-iv/description/
309. 买卖股票的最佳时机含冷冻期,动态规划,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-with-cooldown/
714. 买卖股票的最佳时机含手续费,动态规划,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/description/
300.最长递增子序列,"动态规划, 没做出来",https://leetcode.cn/problems/longest-increasing-subsequence/
python的循环遍历方式,python基础,
c++转python,python基础,
数组,python基础,
字典（hash）,python基础,
优先队列,python基础,
结构体,python基础,
自定义比较,python基础,
集合set,python基础,
输入输出,python基础,
221. 最大正方形 - 力扣,"动态规划, 没做出来",https://leetcode.cn/problem-list/2cktkvj/
215. 数组中的第K个最大元素,"动态规划, 没做出来",https://leetcode.cn/problems/kth-largest-element-in-an-array/description/?envType=problem-list-v2&envId=2cktkvj
674. 最长连续递增序列,动态规划,https://leetcode.cn/problems/longest-continuous-increasing-subsequence/description/
718. 最长重复子数组,"动态规划, 没做出来",https://leetcode.cn/problems/maximum-length-of-repeated-subarray/
739. 每日温度,单调栈,https://leetcode.cn/problems/daily-temperatures/description/
栈的使用,python基础,
ACM格式,python基础,
所有可达路径,dfs,
200. 岛屿数量,"bfs, dfs",https://leetcode.cn/problems/number-of-islands/?envType=problem-list-v2&envId=2cktkvj
124. 二叉树中的最大路径和（树状DP）,动态规划,https://leetcode.cn/problems/binary-tree-maximum-path-sum/description/?envType=problem-list-v2&envId=2cktkvj
求公因数,,
定长滑动窗口,"双指针, 滑动窗口",
原地哈希,哈希表,https://leetcode.cn/problems/first-missing-positive/description/?envType=study-plan-v2&envId=top-100-liked
